,Train no.,Train name,Starts,Ends
0,12723,Andhra Pradesh Express,Hyderabad Decan,New Delhi
1,22416,Andhra Pradesh Express,New Delhi,Vishakapatnam
2,12724,Andhra Pradesh Express,New Delhi,Hyderabad Decan
3,12707,Andhra Pradesh Sampark Kranti,Tirupati,H Nizamuddin
4,15909,Abadh Assam Express,New Tinsukia Junction,Darbhanga Junction
5,18242,Abkp Durg Passenger E,Ambikapur,Durg
6,11266,Abkp Jbp Express,Ambikapur,Jabalpur
7,58702,Abkp Sdl Passenger,Ambikapur,Shahdol
8,54703,Abs Ju Passengr,Abohar,Jodhpur Junction
9,7509,Adb Qln Special,Adilabad,Kollam Junction
10,9416,Adi Madgaon Special,Ahmedabad Junction,Madgaon
11,19417,Adi Ald Express,Ahmedabad Junction,Allahabad Junction
12,9427,Adi Ald Special,Ahmedabad Junction,Allahabad Junction
13,9018,Adi Bct Ac Special,Ahmedabad Junction,Mumbai Central
14,14804,Adi Bgkt Express,Ahmedabad Junction,Bhagat Ki Kothi
15,4804,Adi Bgkt Special,Ahmedabad Junction,Bhagat Ki Kothi
16,9421,Adi Bme Ac Special,Ahmedabad Junction,Barmer
17,19130,Adi Brc Intercity,Ahmedabad Junction,Vadodara Junction
18,2713,Adi Bza Superfast Special,Ahmedabad Junction,Vijayawada Junction
19,19420,Adi Chennai Express,Ahmedabad Junction,Chennai Central
20,9417,Adi Dee Premium,Ahmedabad Junction,Delhi S Rohilla
21,12931,Adi Double Deck,Mumbai Central,Ahmedabad Junction
22,12267,Adi Duronto Express,Mumbai Central,Ahmedabad Junction
23,12298,Adi Duronto Express,Pune Junction,Ahmedabad Junction
24,9425,Adi Jaipur Special,Ahmedabad Junction,Jaipur
25,19223,Adi Jat Express,Ahmedabad Junction,Jammu Tawi
26,19606,Adi Koaa Express,Ahmedabad Junction,Kolkata
27,19401,Adi Lucknow Express,Ahmedabad Junction,Lucknow Nr
28,9413,Adi Lucknow Special,Ahmedabad Junction,Lucknow Nr
29,9420,Adi Majn Superfast Special,Ahmedabad Junction,Mangalore Junction
30,9411,Adi Patna Special,Ahmedabad Junction,Patna Junction
31,19421,Adi Pnbe Express,Ahmedabad Junction,Patna Junction
32,18406,Adi Puri Express,Ahmedabad Junction,Puri
33,12844,Adi Puri Express,Ahmedabad Junction,Puri
34,7017,Adi Sc Premium,Ahmedabad Junction,Secunderabad Junction
35,12958,Adi Sj Rajdhani,New Delhi,Ahmedabad Junction
36,19415,Adi Svdk Express,Ahmedabad Junction,Shmata V D Ktra
37,19944,Adi Udz Express,Ahmedabad Mg,Udaipur City
38,19407,Adi Varanasi Express,Ahmedabad Junction,Varanasi Junction
39,16501,Adi Ypr Express,Ahmedabad Junction,Yesvantpur Junction
40,12547,Af Adi Superfast Express,Agra Fort,Ahmedabad Junction
41,12195,Af Aii Intercity,Agra Fort,Ajmer Junction
42,9612,Af Aii Special,Agra Fort,Ajmer Junction
43,12036,Af Jp Shatabdi,Agra Fort,Jaipur
44,15055,Af Rmr Express,Agra Fort,Ramnagar
45,12954,Ag Kranti Rajdhani,H Nizamuddin,Mumbai Central
46,12320,Agc Koaa Express,Agra Cantt,Kolkata
47,13168,Agc Koaa Express,Agra Cantt,Kolkata
48,1436,Agc Pune Special,Agra Cantt,Pune Junction
49,12342,Agnibina Express,Asansol Junction,Howrah Junction
50,12341,Agnibina Express,Howrah Junction,Asansol Junction
51,12548,Agra Super Fast,Ahmedabad Junction,Agra Fort
52,52575,Agtl Dmr Passenger,Agartala,Dharmanagar
53,22645,Ahilyanagari Express,Indore Junction Bg,Trivandrum Cntl
54,22646,Ahilyanagari Express,Trivandrum Cntl,Indore Junction Bg
55,11095,Ahimsa Express,Ahmedabad Junction,Pune Junction
56,11096,Ahimsa Express,Pune Junction,Ahmedabad Junction
57,16502,Ahmadabad Express,Yesvantpur Junction,Ahmedabad Junction
58,59439,Ahmadabad Passenger,Mumbai Central,Ahmedabad Junction
59,59440,Ahmadabad Passenger,Ahmedabad Junction,Borivali
60,19405,Ahmedabad Ac Express,Yesvantpur Junction,Ahmedabad Junction
