institute_id,name,tlr,rpc,go,oi,perception,city,state,rank
IR-E-U-0456,Indian Institute of Technology Madras,95.42,94.64,83.9,61.31,100.0,Chennai,Tamil Nadu,1
IR-E-I-1074,Indian Institute of Technology Delhi,90.79,96.15,80.36,64.81,94.46,New Delhi,Delhi,2
IR-E-U-0306,Indian Institute of Technology Bombay,91.0,93.37,77.6,49.99,92.51,Mumbai,Maharashtra,3
IR-E-I-1075,Indian Institute of Technology Kanpur,86.22,82.08,88.44,54.21,85.78,Kanpur,Uttar Pradesh,4
IR-E-U-0573,Indian Institute of Technology Kharagpur,77.32,87.11,83.21,56.62,89.31,Kharagpur,West Bengal,5
IR-E-U-0560,Indian Institute of Technology Roorkee,77.21,76.57,89.65,61.71,60.55,Roorkee,Uttarakhand,6
IR-E-U-0053,Indian Institute of Technology Guwahati,83.04,70.73,83.03,59.13,62.45,Guwahati,Assam,7
IR-E-U-0013,Indian Institute of Technology Hyderabad,82.51,52.47,71.54,55.98,60.42,Hyderabad,Telangana,8
IR-E-U-0467,National Institute of Technology Tiruchirappalli,72.11,50.04,74.71,61.49,63.68,Tiruchirappalli,Tamil Nadu,9
IR-E-U-0273,Indian Institute of Technology Indore,79.89,53.31,72.09,57.76,27.15,Indore,Madhya Pradesh,10
IR-E-U-0701,Indian Institute of Technology  BHU  Varanasi,72.34,47.77,77.77,56.07,53.49,Varanasi,Uttar Pradesh,11
IR-E-U-0205,Indian Institute of Technology  Indian School of Mines,64.02,63.12,72.11,55.07,39.78,Dhanbad,Jharkhand,12
IR-E-U-0237,National Institute of Technology Karnataka,68.93,46.03,78.67,55.24,55.59,Surathkal,Karnataka,13
IR-E-U-0439,Anna University,64.62,54.07,61.5,51.62,68.24,Chennai,Tamil Nadu,14
IR-E-U-0490,Vellore Institute of Technology,56.79,64.06,63.07,58.21,46.29,Vellore,Tamil Nadu,15
IR-E-U-0357,National Institute of Technology Rourkela,64.38,57.82,74.3,47.23,30.48,Rourkela,Odisha,16
IR-E-U-0575,Jadavpur University,53.73,62.04,76.45,40.45,51.61,Kolkata,West Bengal,17
IR-E-U-0308,Institute of Chemical Technology,68.13,54.04,74.66,45.17,25.98,Mumbai,Maharashtra,18
IR-E-U-0025,National Institute of Technology Warangal,73.38,38.12,74.21,57.81,36.91,Warangal,Telangana,19
IR-E-U-0436,Amrita School of Engineering,65.77,56.76,59.0,60.07,28.01,Amritapuri,Kerala,20
IR-E-U-0584,Indian Institute of Engineering Science and Technology,69.57,47.62,63.17,47.92,45.56,Shibpur,West Bengal,21
IR-E-U-0355,Indian Institute of Technology Bhubaneswar,77.05,37.17,64.77,56.27,39.56,Bhubaneswar,Odisha,22
IR-E-U-0263,National Institute of Technology Calicut,71.05,31.3,78.29,63.87,38.04,Kozhikode,Kerala,23
IR-E-U-0139,Indian Institute of Technology Gandhinagar,83.76,34.55,55.15,57.9,38.26,Gandhinagar,Gujarat,24
IR-E-U-0378,Indian Institute of Technology Ropar,79.11,30.54,70.31,59.24,30.75,Rupnagar,Punjab,25
IR-E-U-0064,Indian Institute of Technology Patna,78.2,39.24,62.28,51.86,28.57,Patna,Bihar,26
IR-E-U-0334,Visvesvaraya National Institute of Technology,67.7,45.19,69.73,53.77,15.56,Nagpur,Maharashtra,27
IR-E-U-0108,Jamia Millia Islamia,63.16,48.11,71.43,58.0,11.13,New Delhi,Delhi,28
IR-E-I-1480,Thapar Institute of Engineering   Technology,65.95,47.65,65.69,54.82,17.42,Patiala,Punjab,29
IR-E-U-0391,Birla Institute of Technology   Science,61.95,34.87,77.36,56.26,42.47,Pilani,Rajasthan,30
IR-E-U-0184,Indian Institute of Technology Mandi,70.38,36.8,67.11,64.7,21.26,Mandi,Himachal Pradesh,31
IR-E-U-0497,Amity University Noida,71.22,50.11,51.01,56.94,8.05,Gautam Budh Nagar,Uttar Pradesh,32
IR-E-U-0255,Indian Institute of Space Science and Technology,78.65,24.02,62.88,62.97,33.32,Thiruvananthapuram,Kerala,33
IR-E-U-0363,Siksha  O  Anusandhan,74.73,29.41,68.18,64.26,10.7,Bhubaneswar,Odisha,34
IR-E-U-0410,Malaviya National Institute of Technology,71.41,41.69,59.89,54.4,8.95,Jaipur,Rajasthan,35
IR-E-U-0098,Delhi Technological University,63.36,31.12,73.21,53.07,36.91,New Delhi,Delhi,36
IR-E-U-0476,Shanmugha Arts Science Technology   Research Academy,73.13,33.81,64.89,56.6,10.7,Thanjavur,Tamil Nadu,37
IR-E-U-0202,Birla Institute of Technology,70.07,34.81,58.75,51.57,30.48,Ranchi,Jharkhand,38
IR-E-U-0496,Aligarh Muslim University,70.58,45.83,56.57,40.89,10.7,Aligarh,Uttar Pradesh,39
IR-E-U-0172,National Institute of Technology Kurukshetra,63.85,41.64,61.65,54.75,17.42,Kurukshetra,Haryana,40
IR-E-U-0473,S  R  M  Institute of Science and Technology,61.27,41.96,63.57,61.06,11.55,Chennai,Tamil Nadu,41
IR-E-U-0356,Kalinga Institute of Industrial Technology,66.08,25.8,65.8,75.7,17.79,Bhubaneswar,Odisha,42
IR-E-U-0014,International Institute of Information Technology Hyderabad,53.01,36.66,73.92,52.91,24.77,Hyderabad,Telangana,43
IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,66.01,31.1,63.81,53.47,20.25,Kancheepuram,Tamil Nadu,44
IR-E-C-7252,Manipal Institute of Technology,70.32,24.86,54.6,62.23,33.57,Manipal,Karnataka,45
IR-E-U-0055,National Institute of Technology Silchar,61.63,35.41,62.3,51.68,19.21,Silchar,Assam,46
IR-E-U-0577,National Institute of Technology Durgapur,54.76,36.98,64.42,50.22,29.68,Durgapur,West Bengal,47
IR-E-U-0530,Motilal Nehru National Institute of Technology,59.71,30.56,69.0,50.72,22.89,Allahabad,Uttar Pradesh,48
IR-E-C-37013,PSG College of Technology,69.35,19.73,52.14,48.69,51.77,Coimbatore,Tamil Nadu,49
IR-E-C-41593,College of Engineering Pune,61.94,21.89,67.56,51.85,29.4,Pune,Maharashtra,50
IR-E-U-0474,Sathyabama Institute of Science and Technology,59.06,31.77,64.14,64.2,2.69,Chennai,Tamil Nadu,51
