Year,Category,Name,Birthdate,Birth Place,Country,Residence,Role/Affiliate,Field/Language,Prize Name,Motivation
1901,chemistry,Jacobus Henricus van 't Hoff,30 August 1852,Rotterdam,the Netherlands,No Data," Berlin University, Berlin, Germany"," Physical chemistry, chemical kinetics",The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1901 was awarded to Jacobus H. van 't Hoff in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions.
1901,literature,Sully Prudhomme,16 March 1839,Paris,France,France,No Data, French,The Nobel Prize in Literature,"The Nobel Prize in Literature 1901 was awarded to Sully Prudhomme in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect."
1901,medicine,Emil Adolf von Behring,15 March 1854,Hansdorf (now Jankowa ?aga?ska),Prussia (now Poland),No Data," Marburg University, Marburg, Germany",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1901 was awarded to Emil von Behring for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths."
1901,peace,Frédéric Passy,20 May 1822,Paris,France,France, Founder and President of first French peace society (since 1889 called Société française pour l'arbitrage entre nations)," Humanitarian work, peace movement",The Nobel Peace Prize,The Nobel Peace Prize 1901 was awarded jointly to Jean Henry Dunant and Frédéric Passy
1901,peace,Jean Henry Dunant,8 May 1828,Geneva,Switzerland,Switzerland," Originator Geneva Convention (Convention de Genève), Founder of the International Committee of the Red Cross, Geneva"," Humanitarian work, peace movement",The Nobel Peace Prize,The Nobel Peace Prize 1901 was awarded jointly to Jean Henry Dunant and Frédéric Passy
1901,physics,Wilhelm Conrad Röntgen,27 March 1845,Lennep (now Remscheid),Prussia (now Germany),No Data," Munich University, Munich, Germany"," X-rays, atomic physics",The Nobel Prize in Physics,The Nobel Prize in Physics 1901 was awarded to Wilhelm Conrad Röntgen in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him.
1902,chemistry,Hermann Emil Fischer,9 October 1852,Euskirchen,Prussia (now Germany),No Data," Berlin University, Berlin, Germany", Organic chemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1902 was awarded to Emil Fischer in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses.
1902,literature,Christian Matthias Theodor Mommsen,30 November 1817,Garding,Schleswig (now Germany),Germany,No Data, German,The Nobel Prize in Literature,"The Nobel Prize in Literature 1902 was awarded to Theodor Mommsen the greatest living master of the art of historical writing, with special reference to his monumental work, A history of Rome."
1902,medicine,Ronald Ross,13 May 1857,Almora,India,No Data," University College, Liverpool, United Kingdom",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1902 was awarded to Ronald Ross for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it."
1902,peace,Charles Albert Gobat,21 May 1843,Tramelan,Switzerland,Switzerland," Honorary Secretary, Permanent International Peace Bureau, Bern, Switzerland, Secretary General, Inter-Parliamentary Union", Peace movement,The Nobel Peace Prize,The Nobel Peace Prize 1902 was awarded jointly to élie Ducommun and Charles Albert Gobat
