Pincode,District,StateName
110001,CENTRAL DELHI,Delhi
110002,New Delhi,Delhi
110003,SOUTH DELHI,Delhi
110004,CENTRAL DELHI,Delhi
110005,CENTRAL DELHI,Delhi
110006,NORTH DELHI,Delhi
110007,NORTH DELHI,Delhi
110008,CENTRAL DELHI,Delhi
110009,NORTH DELHI,Delhi
110010,NEW DELHI,Delhi
110011,CENTRAL DELHI,Delhi
110012,CENTRAL DELHI,Delhi
110013,SOUTH DELHI,Delhi
110014,SOUTH DELHI,Delhi
110015,WEST DELHI,Delhi
110016,SOUTH DELHI,Delhi
110017,SOUTH DELHI,Delhi
110018,WEST DELHI,Delhi
110019,SOUTH DELHI,Delhi
110020,SOUTH DELHI,Delhi
110021,SOUTH WEST DELHI,Delhi
110022,NEW DELHI,Delhi
110023,NEW DELHI,Delhi
110024,SOUTH DELHI,Delhi
110025,SOUTH DELHI,Delhi
110026,WEST DELHI,Delhi
110027,WEST DELHI,Delhi
110028,SOUTH WEST DELHI,Delhi
110029,NEW DELHI,Delhi
110030,SOUTH DELHI,Delhi
110031,EAST DELHI,Delhi
110032,SHAHDARA,Delhi
110033,NORTH WEST DELHI,Delhi
110034,NORTH WEST DELHI,Delhi
110035,NORTH WEST DELHI,Delhi
110036,NORTH DELHI,Delhi
110037,NEW DELHI,Delhi
110038,NEW DELHI,Delhi
110039,NORTH DELHI,Delhi
110040,NORTH DELHI,Delhi
110041,WEST DELHI,Delhi
110042,NORTH WEST DELHI,Delhi
110043,SOUTH WEST DELHI,Delhi
110044,SOUTH DELHI,Delhi
110045,WEST DELHI,Delhi
110046,SOUTH WEST DELHI,Delhi
110047,SOUTH DELHI,Delhi
110048,SOUTH DELHI,Delhi
110049,SOUTH DELHI,Delhi
110051,SHAHDARA,Delhi
110052,NORTH WEST DELHI,Delhi
110053,NORTH EAST DELHI,Delhi
110054,NORTH DELHI,Delhi
110055,CENTRAL DELHI,Delhi
110056,NORTH WEST DELHI,Delhi
110057,NEW DELHI,Delhi
110058,WEST DELHI,Delhi
110059,WEST DELHI,Delhi
110060,CENTRAL DELHI,Delhi
110061,SOUTH WEST DELHI,Delhi
110062,SOUTH DELHI,Delhi
110063,WEST DELHI,Delhi
110064,WEST DELHI,Delhi
110065,SOUTH DELHI,Delhi
110066,NEW DELHI,Delhi
110067,SOUTH DELHI,Delhi
110068,SOUTH DELHI,Delhi
110069,CENTRAL DELHI,Delhi
110070,NEW DELHI,Delhi
110071,SOUTH WEST DELHI,Delhi
110072,SOUTH WEST DELHI,Delhi
110073,SOUTH WEST DELHI,Delhi
110074,SOUTH DELHI,Delhi
110075,SOUTH WEST DELHI,Delhi
110076,SOUTH DELHI,Delhi
110077,SOUTH WEST DELHI,Delhi
110078,SOUTH WEST DELHI,Delhi
110080,SOUTH DELHI,Delhi
110081,NORTH DELHI,Delhi
110082,NORTH DELHI,Delhi
110083,NORTH WEST DELHI,Delhi
110084,NORTH WEST DELHI,Delhi
110085,NORTH WEST DELHI,Delhi
110086,NORTH WEST DELHI,Delhi
110087,WEST DELHI,Delhi
110088,NORTH WEST DELHI,Delhi
110089,NORTH WEST DELHI,Delhi
110090,NORTH EAST DELHI,Delhi
110091,EAST DELHI,Delhi
110092,EAST DELHI,Delhi
110093,NORTH EAST DELHI,Delhi
110094,NORTH EAST DELHI,Delhi
110095,EAST DELHI,Delhi
110096,EAST DELHI,Delhi
110097,SOUTH WEST DELHI,Delhi
110099,NORTH WEST DELHI,Delhi
121001,FARIDABAD,Haryana
121002,FARIDABAD,Haryana
121003,FARIDABAD,Haryana
121004,FARIDABAD,Haryana
121005,FARIDABAD,Haryana
121006,FARIDABAD,Haryana
121007,FARIDABAD,Haryana
121008,FARIDABAD,Haryana
121009,FARIDABAD,Haryana
121010,FARIDABAD,Haryana
121012,FARIDABAD,Haryana
121013,FARIDABAD,Haryana
121014,FARIDABAD,Haryana
121015,FARIDABAD,Haryana
121101,FARIDABAD,Haryana
121102,PALWAL,Haryana
121103,FARIDABAD,Haryana
121105,FARIDABAD,Haryana
121106,FARIDABAD,Haryana
121107,FARIDABAD,Haryana
122001,GURGAON,Haryana
122002,GURGAON,Haryana
122003,GURGAON,Haryana
122004,GURGAON,Haryana
122005,GURGAON,Haryana
122006,GURGAON,Haryana
122007,GURGAON,Haryana
122008,GURGAON,Haryana
122009,GURGAON,Haryana
122010,GURGAON,Haryana
122011,GURGAON,Haryana
122012,GURGAON,Haryana
122015,GURGAON,Haryana
122016,GURGAON,Haryana
122017,GURGAON,Haryana
122018,GURGAON,Haryana
122051,GURGAON,Haryana
122052,GURGAON,Haryana
122098,GURGAON,Haryana
122101,GURGAON,Haryana
122102,GURGAON,Haryana
122103,GURGAON,Haryana
122104,MEWAT,Haryana
122105,MEWAT,Haryana
122107,MEWAT,Haryana
122108,MEWAT,Haryana
122413,GURGAON,Haryana
122414,FATEHABAD,Haryana
122502,GURGAON,Haryana
122503,GURGAON,Haryana
122504,GURGAON,Haryana
122505,GURGAON,Haryana
122506,GURGAON,Haryana
122508,MEWAT,Haryana
123001,MAHENDRAGARH,Haryana
123021,MAHENDRAGARH,Haryana
123023,MAHENDRAGARH,Haryana
123024,MAHENDRAGARH,Haryana
123027,MAHENDRAGARH,Haryana
123028,MAHENDRAGARH,Haryana
123029,MAHENDRAGARH,Haryana
123031,MAHENDRAGARH,Haryana
123034,MAHENDRAGARH,Haryana
123035,REWARI,Haryana
123101,REWARI,Haryana
123102,REWARI,Haryana
123103,REWARI,Haryana
123106,REWARI,Haryana
123110,REWARI,Haryana
123301,REWARI,Haryana
123302,REWARI,Haryana
123303,REWARI,Haryana
123401,REWARI,Haryana
123411,REWARI,Haryana
123412,REWARI,Haryana
123501,REWARI,Haryana
124001,ROHTAK,Haryana
124010,ROHTAK,Haryana
124021,ROHTAK,Haryana
124022,ROHTAK,Haryana
124102,JHAJJAR,Haryana
124103,JHAJJAR,Haryana
124104,JHAJJAR,Haryana
124105,JHAJJAR,Haryana
124106,JHAJJAR,Haryana
124107,JHAJJAR,Haryana
124108,JHAJJAR,Haryana
124109,JHAJJAR,Haryana
124111,ROHTAK,Haryana
124112,ROHTAK,Haryana
124113,ROHTAK,Haryana
124141,JHAJJAR,Haryana
124142,JHAJJAR,Haryana
124146,JHAJJAR,Haryana
124201,JHAJJAR,Haryana
124202,JHAJJAR,Haryana
124303,ROHTAK,Haryana
124401,ROHTAK,Haryana
124404,JHAJJAR,Haryana
124406,ROHTAK,Haryana
124411,ROHTAK,Haryana
124412,ROHTAK,Haryana
124501,ROHTAK,Haryana
124504,JHAJJAR,Haryana
124505,JHAJJAR,Haryana
124506,JHAJJAR,Haryana
124507,JHAJJAR,Haryana
124508,JHAJJAR,Sikkim
124513,ROHTAK,Haryana
124514,ROHTAK,Haryana
125001,HISAR,Haryana
125004,HISAR,Haryana
125005,HISAR,Haryana
125006,HISAR,Haryana
125007,HISAR,Haryana
125011,HISAR,Haryana
125033,HISAR,Haryana
125037,HISAR,Haryana
125038,HISAR,Haryana
125039,HISAR,Haryana
125042,HISAR,Haryana
125044,HISAR,Haryana
125047,HISAR,Haryana
125048,FATEHABAD,Haryana
125049,HISAR,Haryana
125050,FATEHABAD,Haryana
125051,FATEHABAD,Haryana
125052,HISAR,Haryana
125053,FATEHABAD,Haryana
125054,SIRSA,Haryana
125055,SIRSA,Haryana
125056,SIRSA,Haryana
125058,SIRSA,Haryana
125060,SIRSA,Haryana
125075,SIRSA,Haryana
125076,SIRSA,Haryana
125077,SIRSA,Haryana
125078,SIRSA,Haryana
125101,SIRSA,Haryana
125102,SIRSA,Haryana
125103,SIRSA,Haryana
125104,SIRSA,Haryana
125106,FATEHABAD,Haryana
125110,SIRSA,Haryana
125111,FATEHABAD,Haryana
125112,FATEHABAD,Haryana
125113,HISAR,Haryana
125120,FATEHABAD,Haryana
125121,HISAR,Haryana
125133,HISAR,Haryana
125201,SIRSA,Haryana
126101,JIND,Haryana
126102,JIND,Haryana
126110,JIND,Haryana
126111,JIND,Haryana
126112,JIND,Haryana
126113,JIND,Haryana
126114,JIND,Haryana
126115,JIND,Haryana
126116,JIND,Haryana
126125,JIND,Haryana
126152,JIND,Haryana
127021,BHIWANI,Haryana
127022,BHIWANI,Haryana
127025,BHIWANI,Haryana
127026,BHIWANI,Haryana
127027,BHIWANI,Haryana
127028,BHIWANI,Haryana
127029,BHIWANI,Haryana
127030,BHIWANI,Haryana
127031,BHIWANI,Haryana
127032,BHIWANI,Haryana
127035,BHIWANI,Haryana
127040,BHIWANI,Haryana
127041,BHIWANI,Haryana
127042,BHIWANI,Haryana
127043,BHIWANI,Haryana
127045,BHIWANI,Haryana
127046,BHIWANI,Haryana
127111,BHIWANI,Haryana
127114,BHIWANI,Haryana
127201,BHIWANI,Haryana
127306,BHIWANI,Haryana
127307,BHIWANI,Haryana
127308,BHIWANI,Haryana
127309,BHIWANI,Haryana
127310,BHIWANI,Haryana
127311,BHIWANI,Haryana
127312,BHIWANI,Haryana
131001,SONIPAT,Haryana
131021,SONIPAT,Haryana
131022,SONIPAT,Haryana
131023,SONIPAT,Haryana
131024,SONIPAT,Haryana
131027,SONIPAT,Haryana
131028,SONIPAT,Haryana
131029,SONIPAT,Haryana
131030,SONIPAT,Haryana
131039,SONIPAT,Haryana
131101,SONIPAT,Haryana
131102,SONIPAT,Haryana
131103,SONIPAT,Haryana
131301,SONIPAT,Haryana
131302,SONIPAT,Haryana
131304,SONIPAT,Haryana
131305,SONIPAT,Haryana
131306,SONIPAT,Haryana
131402,SONIPAT,Haryana
131403,SONIPAT,Haryana
131408,SONIPAT,Haryana
131409,SONIPAT,Haryana
132001,KARNAL,Haryana
132022,KARNAL,Haryana
132023,KARNAL,Haryana
132024,KARNAL,Haryana
132036,KARNAL,Haryana
132037,KARNAL,Haryana
132039,KARNAL,Haryana
132040,KARNAL,Haryana
132041,KARNAL,Haryana
132046,KARNAL,Haryana
132054,KARNAL,Haryana
132101,PANIPAT,Haryana
132102,PANIPAT,Haryana
132103,PANIPAT,Haryana
132104,PANIPAT,Haryana
132105,PANIPAT,Haryana
132106,Panipat,Haryana
132107,PANIPAT,Haryana
132108,PANIPAT,Haryana
132113,PANIPAT,Haryana
132114,KARNAL,Haryana
132115,PANIPAT,Haryana
132116,KARNAL,Haryana
132117,KARNAL,Haryana
132122,PANIPAT,Haryana
132140,PANIPAT,Haryana
132145,PANIPAT,Haryana
132157,KARNAL,Haryana
133001,AMBALA,Haryana
133004,AMBALA,Haryana
133005,AMBALA,Haryana
133006,AMBALA,Haryana
133008,Ambala,Haryana
133010,AMBALA,Haryana
133101,AMBALA,Haryana
133102,AMBALA,Haryana
133103,YAMUNANAGAR,Haryana
133104,AMBALA,Haryana
133201,AMBALA,Haryana
133202,AMBALA,Haryana
133203,AMBALA,Haryana
133204,YAMUNANAGAR,Haryana
133205,AMBALA,Haryana
133206,YAMUNANAGAR,Haryana
133207,AMBALA,Haryana
133301,PANCHKULA,Haryana
133302,PANCHKULA,Haryana
134003,AMBALA,Haryana
134005,AMBALA,Haryana
134007,AMBALA,Haryana
134008,AMBALA,Haryana
134101,PANCHKULA,Haryana
134102,PANCHKULA,Haryana
134103,PANCHKULA,Haryana
134104,PANCHKULA,Haryana
134105,PANCHKULA,Haryana
134107,PANCHKULA,Haryana
134108,PANCHKULA,Haryana
134109,PANCHKULA,Haryana
134112,PANCHKULA,Haryana
134113,PANCHKULA,Haryana
134114,PANCHKULA,Haryana
134116,PANCHKULA,Haryana
134117,PANCHKULA,Haryana
134118,PANCHKULA,Haryana
134201,AMBALA,Haryana
134202,PANCHKULA,Haryana
134203,AMBALA,Haryana
134204,AMBALA,Haryana
134205,PANCHKULA,Haryana
135001,YAMUNANAGAR,Haryana
135002,AMBALA,Haryana
135003,YAMUNANAGAR,Haryana
135004,YAMUNANAGAR,Haryana
135021,YAMUNANAGAR,Haryana
135101,YAMUNANAGAR,Haryana
135102,YAMUNANAGAR,Haryana
135103,YAMUNANAGAR,Haryana
135106,YAMUNANAGAR,Haryana
135133,YAMUNANAGAR,Haryana
136020,KURUKSHETRA,Haryana
136021,KAITHAL,Haryana
136026,KAITHAL,Haryana
136027,KAITHAL,Haryana
136030,KURUKSHETRA,Haryana
136033,KAITHAL,Haryana
136034,KURUKSHETRA,Haryana
136035,KURUKSHETRA,Haryana
136038,KURUKSHETRA,Haryana
136042,KURUKSHETRA,Haryana
136043,KAITHAL,Haryana
136044,KAITHAL,Haryana
136117,KAITHAL,Haryana
136118,KURUKSHETRA,Haryana
136119,KURUKSHETRA,Haryana
136128,KURUKSHETRA,Haryana
136129,KURUKSHETRA,Haryana
136130,KURUKSHETRA,Haryana
136131,KURUKSHETRA,Haryana
136132,KURUKSHETRA,Haryana
136134,Kurukshetra,Haryana
136135,KURUKSHETRA,Haryana
136136,KURUKSHETRA,Haryana
136156,KURUKSHETRA,Haryana
140001,ROPAR,Punjab
140101,MOHALI,Punjab
140102,ROPAR,Punjab
140103,MOHALI,Punjab
140108,ROPAR,Punjab
140109,ROPAR,Punjab
140110,MOHALI,Punjab
140111,ROPAR,Punjab
140112,ROPAR,Punjab
140113,ROPAR,Punjab
140114,ROPAR,Punjab
140115,MOHALI,Punjab
140116,ROPAR,Punjab
140117,RUPNAGAR,Punjab
