emoji,name,group,sub_group,codepoints
😀,grinning face,Smileys & Emotion,face-smiling,1F600
😃,grinning face with big eyes,Smileys & Emotion,face-smiling,1F603
😄,grinning face with smiling eyes,Smileys & Emotion,face-smiling,1F604
😁,beaming face with smiling eyes,Smileys & Emotion,face-smiling,1F601
😆,grinning squinting face,Smileys & Emotion,face-smiling,1F606
😅,grinning face with sweat,Smileys & Emotion,face-smiling,1F605
🤣,rolling on the floor laughing,Smileys & Emotion,face-smiling,1F923
😂,face with tears of joy,Smileys & Emotion,face-smiling,1F602
🙂,slightly smiling face,Smileys & Emotion,face-smiling,1F642
🙃,upside-down face,Smileys & Emotion,face-smiling,1F643
😉,winking face,Smileys & Emotion,face-smiling,1F609
😊,smiling face with smiling eyes,Smileys & Emotion,face-smiling,1F60A
😇,smiling face with halo,Smileys & Emotion,face-smiling,1F607
🥰,smiling face with hearts,Smileys & Emotion,face-affection,1F970
😍,smiling face with heart-eyes,Smileys & Emotion,face-affection,1F60D
🤩,star-struck,Smileys & Emotion,face-affection,1F929
😘,face blowing a kiss,Smileys & Emotion,face-affection,1F618
😗,kissing face,Smileys & Emotion,face-affection,1F617
☺️,smiling face,Smileys & Emotion,face-affection,263A FE0F
☺,smiling face,Smileys & Emotion,face-affection,263A
😚,kissing face with closed eyes,Smileys & Emotion,face-affection,1F61A
😙,kissing face with smiling eyes,Smileys & Emotion,face-affection,1F619
🥲,smiling face with tear,Smileys & Emotion,face-affection,1F972
😋,face savoring food,Smileys & Emotion,face-tongue,1F60B
😛,face with tongue,Smileys & Emotion,face-tongue,1F61B
😜,winking face with tongue,Smileys & Emotion,face-tongue,1F61C
🤪,zany face,Smileys & Emotion,face-tongue,1F92A
😝,squinting face with tongue,Smileys & Emotion,face-tongue,1F61D
🤑,money-mouth face,Smileys & Emotion,face-tongue,1F911
🤗,hugging face,Smileys & Emotion,face-hand,1F917
🤭,face with hand over mouth,Smileys & Emotion,face-hand,1F92D
🤫,shushing face,Smileys & Emotion,face-hand,1F92B
🤔,thinking face,Smileys & Emotion,face-hand,1F914
🤐,zipper-mouth face,Smileys & Emotion,face-neutral-skeptical,1F910
🤨,face with raised eyebrow,Smileys & Emotion,face-neutral-skeptical,1F928
😐,neutral face,Smileys & Emotion,face-neutral-skeptical,1F610
😑,expressionless face,Smileys & Emotion,face-neutral-skeptical,1F611
😶,face without mouth,Smileys & Emotion,face-neutral-skeptical,1F636
😶‍🌫️,face in clouds,Smileys & Emotion,face-neutral-skeptical,1F636 200D 1F32B FE0F
😶‍🌫,face in clouds,Smileys & Emotion,face-neutral-skeptical,1F636 200D 1F32B
😏,smirking face,Smileys & Emotion,face-neutral-skeptical,1F60F
😒,unamused face,Smileys & Emotion,face-neutral-skeptical,1F612
🙄,face with rolling eyes,Smileys & Emotion,face-neutral-skeptical,1F644
😬,grimacing face,Smileys & Emotion,face-neutral-skeptical,1F62C
😮‍💨,face exhaling,Smileys & Emotion,face-neutral-skeptical,1F62E 200D 1F4A8
🤥,lying face,Smileys & Emotion,face-neutral-skeptical,1F925
😌,relieved face,Smileys & Emotion,face-sleepy,1F60C
😔,pensive face,Smileys & Emotion,face-sleepy,1F614
😪,sleepy face,Smileys & Emotion,face-sleepy,1F62A
🤤,drooling face,Smileys & Emotion,face-sleepy,1F924
😴,sleeping face,Smileys & Emotion,face-sleepy,1F634
😷,face with medical mask,Smileys & Emotion,face-unwell,1F637
🤒,face with thermometer,Smileys & Emotion,face-unwell,1F912
🤕,face with head-bandage,Smileys & Emotion,face-unwell,1F915
🤢,nauseated face,Smileys & Emotion,face-unwell,1F922
🤮,face vomiting,Smileys & Emotion,face-unwell,1F92E
🤧,sneezing face,Smileys & Emotion,face-unwell,1F927
🥵,hot face,Smileys & Emotion,face-unwell,1F975
🥶,cold face,Smileys & Emotion,face-unwell,1F976
🥴,woozy face,Smileys & Emotion,face-unwell,1F974
😵,knocked-out face,Smileys & Emotion,face-unwell,1F635
😵‍💫,face with spiral eyes,Smileys & Emotion,face-unwell,1F635 200D 1F4AB
🤯,exploding head,Smileys & Emotion,face-unwell,1F92F
🤠,cowboy hat face,Smileys & Emotion,face-hat,1F920
🥳,partying face,Smileys & Emotion,face-hat,1F973
🥸,disguised face,Smileys & Emotion,face-hat,1F978
😎,smiling face with sunglasses,Smileys & Emotion,face-glasses,1F60E
🤓,nerd face,Smileys & Emotion,face-glasses,1F913
🧐,face with monocle,Smileys & Emotion,face-glasses,1F9D0
😕,confused face,Smileys & Emotion,face-concerned,1F615
😟,worried face,Smileys & Emotion,face-concerned,1F61F
🙁,slightly frowning face,Smileys & Emotion,face-concerned,1F641
☹️,frowning face,Smileys & Emotion,face-concerned,2639 FE0F
☹,frowning face,Smileys & Emotion,face-concerned,2639
😮,face with open mouth,Smileys & Emotion,face-concerned,1F62E
😯,hushed face,Smileys & Emotion,face-concerned,1F62F
😲,astonished face,Smileys & Emotion,face-concerned,1F632
😳,flushed face,Smileys & Emotion,face-concerned,1F633
🥺,pleading face,Smileys & Emotion,face-concerned,1F97A
😦,frowning face with open mouth,Smileys & Emotion,face-concerned,1F626
😧,anguished face,Smileys & Emotion,face-concerned,1F627
😨,fearful face,Smileys & Emotion,face-concerned,1F628
😰,anxious face with sweat,Smileys & Emotion,face-concerned,1F630
😥,sad but relieved face,Smileys & Emotion,face-concerned,1F625
😢,crying face,Smileys & Emotion,face-concerned,1F622
😭,loudly crying face,Smileys & Emotion,face-concerned,1F62D
😱,face screaming in fear,Smileys & Emotion,face-concerned,1F631
😖,confounded face,Smileys & Emotion,face-concerned,1F616
😣,persevering face,Smileys & Emotion,face-concerned,1F623
😞,disappointed face,Smileys & Emotion,face-concerned,1F61E
😓,downcast face with sweat,Smileys & Emotion,face-concerned,1F613
😩,weary face,Smileys & Emotion,face-concerned,1F629
😫,tired face,Smileys & Emotion,face-concerned,1F62B
🥱,yawning face,Smileys & Emotion,face-concerned,1F971
😤,face with steam from nose,Smileys & Emotion,face-negative,1F624
😡,pouting face,Smileys & Emotion,face-negative,1F621
😠,angry face,Smileys & Emotion,face-negative,1F620
🤬,face with symbols on mouth,Smileys & Emotion,face-negative,1F92C
😈,smiling face with horns,Smileys & Emotion,face-negative,1F608
👿,angry face with horns,Smileys & Emotion,face-negative,1F47F
💀,skull,Smileys & Emotion,face-negative,1F480
☠️,skull and crossbones,Smileys & Emotion,face-negative,2620 FE0F
☠,skull and crossbones,Smileys & Emotion,face-negative,2620
💩,pile of poo,Smileys & Emotion,face-costume,1F4A9
🤡,clown face,Smileys & Emotion,face-costume,1F921
👹,ogre,Smileys & Emotion,face-costume,1F479
👺,goblin,Smileys & Emotion,face-costume,1F47A
👻,ghost,Smileys & Emotion,face-costume,1F47B
👽,alien,Smileys & Emotion,face-costume,1F47D
👾,alien monster,Smileys & Emotion,face-costume,1F47E
🤖,robot,Smileys & Emotion,face-costume,1F916
😺,grinning cat,Smileys & Emotion,cat-face,1F63A
😸,grinning cat with smiling eyes,Smileys & Emotion,cat-face,1F638
😹,cat with tears of joy,Smileys & Emotion,cat-face,1F639
😻,smiling cat with heart-eyes,Smileys & Emotion,cat-face,1F63B
😼,cat with wry smile,Smileys & Emotion,cat-face,1F63C
😽,kissing cat,Smileys & Emotion,cat-face,1F63D
🙀,weary cat,Smileys & Emotion,cat-face,1F640
😿,crying cat,Smileys & Emotion,cat-face,1F63F
😾,pouting cat,Smileys & Emotion,cat-face,1F63E
🙈,see-no-evil monkey,Smileys & Emotion,monkey-face,1F648
🙉,hear-no-evil monkey,Smileys & Emotion,monkey-face,1F649
🙊,speak-no-evil monkey,Smileys & Emotion,monkey-face,1F64A
💋,kiss mark,Smileys & Emotion,emotion,1F48B
💌,love letter,Smileys & Emotion,emotion,1F48C
💘,heart with arrow,Smileys & Emotion,emotion,1F498
💝,heart with ribbon,Smileys & Emotion,emotion,1F49D
💖,sparkling heart,Smileys & Emotion,emotion,1F496
💗,growing heart,Smileys & Emotion,emotion,1F497
💓,beating heart,Smileys & Emotion,emotion,1F493
💞,revolving hearts,Smileys & Emotion,emotion,1F49E
💕,two hearts,Smileys & Emotion,emotion,1F495
💟,heart decoration,Smileys & Emotion,emotion,1F49F
❣️,heart exclamation,Smileys & Emotion,emotion,2763 FE0F
❣,heart exclamation,Smileys & Emotion,emotion,2763
💔,broken heart,Smileys & Emotion,emotion,1F494
❤️‍🔥,heart on fire,Smileys & Emotion,emotion,2764 FE0F 200D 1F525
❤‍🔥,heart on fire,Smileys & Emotion,emotion,2764 200D 1F525
❤️‍🩹,mending heart,Smileys & Emotion,emotion,2764 FE0F 200D 1FA79
❤‍🩹,mending heart,Smileys & Emotion,emotion,2764 200D 1FA79
❤️,red heart,Smileys & Emotion,emotion,2764 FE0F
❤,red heart,Smileys & Emotion,emotion,2764
🧡,orange heart,Smileys & Emotion,emotion,1F9E1
💛,yellow heart,Smileys & Emotion,emotion,1F49B
💚,green heart,Smileys & Emotion,emotion,1F49A
💙,blue heart,Smileys & Emotion,emotion,1F499
💜,purple heart,Smileys & Emotion,emotion,1F49C
🤎,brown heart,Smileys & Emotion,emotion,1F90E
🖤,black heart,Smileys & Emotion,emotion,1F5A4
🤍,white heart,Smileys & Emotion,emotion,1F90D
💯,hundred points,Smileys & Emotion,emotion,1F4AF
💢,anger symbol,Smileys & Emotion,emotion,1F4A2
💥,collision,Smileys & Emotion,emotion,1F4A5
💫,dizzy,Smileys & Emotion,emotion,1F4AB
💦,sweat droplets,Smileys & Emotion,emotion,1F4A6
💨,dashing away,Smileys & Emotion,emotion,1F4A8
🕳️,hole,Smileys & Emotion,emotion,1F573 FE0F
🕳,hole,Smileys & Emotion,emotion,1F573
💣,bomb,Smileys & Emotion,emotion,1F4A3
💬,speech balloon,Smileys & Emotion,emotion,1F4AC
👁️‍🗨️,eye in speech bubble,Smileys & Emotion,emotion,1F441 FE0F 200D 1F5E8 FE0F
👁‍🗨️,eye in speech bubble,Smileys & Emotion,emotion,1F441 200D 1F5E8 FE0F
👁️‍🗨,eye in speech bubble,Smileys & Emotion,emotion,1F441 FE0F 200D 1F5E8
👁‍🗨,eye in speech bubble,Smileys & Emotion,emotion,1F441 200D 1F5E8
🗨️,left speech bubble,Smileys & Emotion,emotion,1F5E8 FE0F
🗨,left speech bubble,Smileys & Emotion,emotion,1F5E8
🗯️,right anger bubble,Smileys & Emotion,emotion,1F5EF FE0F
🗯,right anger bubble,Smileys & Emotion,emotion,1F5EF
💭,thought balloon,Smileys & Emotion,emotion,1F4AD
💤,zzz,Smileys & Emotion,emotion,1F4A4
👋,waving hand,People & Body,hand-fingers-open,1F44B
👋🏻,waving hand: light skin tone,People & Body,hand-fingers-open,1F44B 1F3FB
👋🏼,waving hand: medium-light skin tone,People & Body,hand-fingers-open,1F44B 1F3FC
👋🏽,waving hand: medium skin tone,People & Body,hand-fingers-open,1F44B 1F3FD
