Country_Code,Ranking,,Economy,US dollars,
USA,1,,United States,"19,485,394",
CHN,2,,China,"12,237,700",
JPN,3,,Japan,"4,872,415",
DEU,4,,Germany,"3,693,204",
IND,5,,India,"2,650,725",
GBR,6,,United Kingdom,"2,637,866",
FRA,7,,France,"2,582,501",
BRA,8,,Brazil,"2,053,595",
ITA,9,,Italy,"1,943,835",
CAN,10,,Canada,"1,647,120",
RUS,11,,Russian Federation,"1,578,417",
KOR,12,,"Korea, Rep.","1,530,751",
AUS,13,,Australia,"1,323,421",
ESP,14,,Spain,"1,314,314",
MEX,15,,Mexico,"1,150,888",
IDN,16,,Indonesia,"1,015,421",
TUR,17,,Turkey,"851,549",
NLD,18,,Netherlands,"830,573",
SAU,19,,Saudi Arabia,"686,738",
CHE,20,,Switzerland,"678,965",
ARG,21,,Argentina,"637,430",
SWE,22,,Sweden,"535,607",
POL,23,,Poland,"526,466",
BEL,24,,Belgium,"494,764",
THA,25,,Thailand,"455,303",
IRN,26,,"Iran, Islamic Rep.","454,013",
AUT,27,,Austria,"416,836",
NOR,28,,Norway,"399,489",
ARE,29,,United Arab Emirates,"382,575",
NGA,30,,Nigeria,"375,745",
ISR,31,,Israel,"353,268",
ZAF,32,,South Africa,"348,872",
HKG,33,,"Hong Kong SAR, China","341,449",
IRL,34,,Ireland,"331,430",
DNK,35,,Denmark,"329,866",
SGP,36,,Singapore,"323,907",
MYS,37,,Malaysia,"314,710",
COL,38,,Colombia,"314,458",
PHL,39,,Philippines,"313,595",
PAK,40,,Pakistan,"304,952",
CHL,41,,Chile,"277,076",
FIN,42,,Finland,"252,302",
BGD,43,,Bangladesh,"249,724",
EGY,44,,"Egypt, Arab Rep.","235,369",
VNM,45,,Vietnam,"223,780",
PRT,46,,Portugal,"219,308",
CZE,47,,Czech Republic,"215,914",
ROU,48,,Romania,"211,884",
PER,49,,Peru,"211,389",
NZL,50,,New Zealand,"204,139",
GRC,51,,Greece,"203,086",
IRQ,52,,Iraq,"192,061",
DZA,53,,Algeria,"167,555",
QAT,54,,Qatar,"166,929",
KAZ,55,,Kazakhstan,"162,887",
HUN,56,,Hungary,"139,761",
AGO,57,,Angola,"122,124",
KWT,58,,Kuwait,"120,126",
SDN,59,,Sudan,"117,488",
UKR,60,,Ukraine,"112,154",
MAR,61,,Morocco,"109,709",
ECU,62,,Ecuador,"104,296",
PRI,63,,Puerto Rico,"103,961",
CUB,64,,Cuba,"96,851",
SVK,65,,Slovak Republic,"95,618",
LKA,66,,Sri Lanka,"87,357",
ETH,67,,Ethiopia,"80,561",
KEN,68,,Kenya,"79,263",
DOM,69,,Dominican Republic,"75,932",
GTM,70,,Guatemala,"75,620",
OMN,71,,Oman,"70,784",
MMR,72,,Myanmar,"67,069",
LUX,73,,Luxembourg,"62,316",
